,Word,Frequency,player,language
31,gran,7,jeremie frimpong,es
1,equipo,11,mitchel bakker,es
0,hincapi,9,mitchel bakker,es
5,minuto,9,mitchel bakker,es
4,partido,8,mitchel bakker,es
7,rival,6,mitchel bakker,es
8,frimpong,6,mitchel bakker,es
11,tiempo,6,mitchel bakker,es
9,adam,5,mitchel bakker,es
10,hlozek,5,mitchel bakker,es
12,europa,5,mitchel bakker,es
0,partido,30,moussa diaby,es
35,minuto,30,moussa diaby,es
45,equipo,25,moussa diaby,es
5,gol,21,moussa diaby,es
26,final,19,moussa diaby,es
31,frimpong,19,moussa diaby,es
50,xabi,18,moussa diaby,es
13,wirtz,18,moussa diaby,es
18,europa,17,moussa diaby,es
49,disparo,16,moussa diaby,es
12,florian,14,moussa diaby,es
19,leagu,14,moussa diaby,es
21,hincapi,14,moussa diaby,es
22,aleman,14,moussa diaby,es
59,area,13,moussa diaby,es
66,adli,13,moussa diaby,es
3,gole,13,moussa diaby,es
47,primera,12,moussa diaby,es
42,balon,12,moussa diaby,es
37,primer,12,moussa diaby,es
13,millon,59,mykhaylo mudryk,es
15,chelsea,47,mykhaylo mudryk,es
24,euro,24,mykhaylo mudryk,es
67,fichaj,23,mykhaylo mudryk,es
40,joao,21,mykhaylo mudryk,es
41,felix,20,mykhaylo mudryk,es
3,equipo,18,mykhaylo mudryk,es
65,blue,18,mykhaylo mudryk,es
6,temporada,18,mykhaylo mudryk,es
29,fernandez,18,mykhaylo mudryk,es
28,enzo,18,mykhaylo mudryk,es
27,jugador,17,mykhaylo mudryk,es
19,club,17,mykhaylo mudryk,es
4,mercado,15,mykhaylo mudryk,es
39,fofana,15,mykhaylo mudryk,es
33,maduek,14,mykhaylo mudryk,es
22,boehli,14,mykhaylo mudryk,es
31,badiashil,13,mykhaylo mudryk,es
80,partido,13,mykhaylo mudryk,es
8,sin,12,mykhaylo mudryk,es
24,partido,75,piero hincapié,es
5,ecuatoriano,74,piero hincapié,es
23,leagu,72,piero hincapié,es
2,europa,69,piero hincapié,es
25,el,64,piero hincapié,es
148,equipo,56,piero hincapié,es
94,ecuador,55,piero hincapié,es
238,final,47,piero hincapié,es
221,rival,45,piero hincapié,es
50,minuto,45,piero hincapié,es
3,jugador,43,piero hincapié,es
84,la,39,piero hincapié,es
175,defensa,35,piero hincapié,es
1,sanchez,34,piero hincapié,es
56,gol,34,piero hincapié,es
54,en,34,piero hincapié,es
126,segundo,34,piero hincapié,es
82,uefa,33,piero hincapié,es
0,felix,33,piero hincapié,es
389,roma,33,piero hincapié,es
