,Word,Frequency,player,language
57,final,29,piero hincapie,en
172,martinez,127,exequiel palacios,es
190,nicola,108,exequiel palacios,es
183,angel,88,exequiel palacios,es
67,lionel,71,exequiel palacios,es
96,campeon,71,exequiel palacios,es
97,mundo,67,exequiel palacios,es
184,correa,66,exequiel palacios,es
18,marco,59,exequiel palacios,es
69,leandro,53,exequiel palacios,es
79,messi,53,exequiel palacios,es
113,montiel,52,exequiel palacios,es
275,emiliano,52,exequiel palacios,es
196,dybala,51,exequiel palacios,es
62,fernandez,50,exequiel palacios,es
195,paulo,50,exequiel palacios,es
289,lautaro,50,exequiel palacios,es
112,gonzalo,49,exequiel palacios,es
70,pared,49,exequiel palacios,es
193,maria,49,exequiel palacios,es
115,rodriguez,48,exequiel palacios,es
35,bayern,16,jeremie frimpong,es
10,later,15,jeremie frimpong,es
15,minuto,15,jeremie frimpong,es
29,xabi,15,jeremie frimpong,es
9,final,13,jeremie frimpong,es
17,gol,12,jeremie frimpong,es
41,equipo,11,jeremie frimpong,es
5,hincapi,11,jeremie frimpong,es
3,europa,11,jeremie frimpong,es
6,partido,10,jeremie frimpong,es
4,leagu,10,jeremie frimpong,es
39,rival,9,jeremie frimpong,es
27,conjunto,8,jeremie frimpong,es
16,tiempo,8,jeremie frimpong,es
36,munich,8,jeremie frimpong,es
34,manchest,8,jeremie frimpong,es
44,grand,7,jeremie frimpong,es
43,gole,7,jeremie frimpong,es
32,gran,7,jeremie frimpong,es
2,equipo,11,mitchel bakker,es
1,hincapi,9,mitchel bakker,es
6,minuto,9,mitchel bakker,es
5,partido,8,mitchel bakker,es
8,rival,6,mitchel bakker,es
9,frimpong,6,mitchel bakker,es
12,tiempo,6,mitchel bakker,es
10,adam,5,mitchel bakker,es
11,hlozek,5,mitchel bakker,es
13,europa,5,mitchel bakker,es
1,partido,30,moussa diaby,es
36,minuto,30,moussa diaby,es
46,equipo,25,moussa diaby,es
6,gol,21,moussa diaby,es
27,final,19,moussa diaby,es
32,frimpong,19,moussa diaby,es
51,xabi,18,moussa diaby,es
14,wirtz,18,moussa diaby,es
19,europa,17,moussa diaby,es
50,disparo,16,moussa diaby,es
13,florian,14,moussa diaby,es
20,leagu,14,moussa diaby,es
22,hincapi,14,moussa diaby,es
23,aleman,14,moussa diaby,es
60,area,13,moussa diaby,es
67,adli,13,moussa diaby,es
4,gole,13,moussa diaby,es
48,primera,12,moussa diaby,es
43,balon,12,moussa diaby,es
38,primer,12,moussa diaby,es
14,millon,59,mykhaylo mudryk,es
16,chelsea,47,mykhaylo mudryk,es
25,euro,24,mykhaylo mudryk,es
68,fichaj,23,mykhaylo mudryk,es
41,joao,21,mykhaylo mudryk,es
42,felix,20,mykhaylo mudryk,es
4,equipo,18,mykhaylo mudryk,es
66,blue,18,mykhaylo mudryk,es
7,temporada,18,mykhaylo mudryk,es
30,fernandez,18,mykhaylo mudryk,es
29,enzo,18,mykhaylo mudryk,es
28,jugador,17,mykhaylo mudryk,es
20,club,17,mykhaylo mudryk,es
5,mercado,15,mykhaylo mudryk,es
40,fofana,15,mykhaylo mudryk,es
34,maduek,14,mykhaylo mudryk,es
23,boehli,14,mykhaylo mudryk,es
32,badiashil,13,mykhaylo mudryk,es
81,partido,13,mykhaylo mudryk,es
25,partido,75,piero hincapié,es
6,ecuatoriano,74,piero hincapié,es
24,leagu,72,piero hincapié,es
3,europa,69,piero hincapié,es
149,equipo,56,piero hincapié,es
95,ecuador,55,piero hincapié,es
239,final,47,piero hincapié,es
222,rival,45,piero hincapié,es
51,minuto,45,piero hincapié,es
4,jugador,43,piero hincapié,es
176,defensa,35,piero hincapié,es
2,sanchez,34,piero hincapié,es
57,gol,34,piero hincapié,es
127,segundo,34,piero hincapié,es
83,uefa,33,piero hincapié,es
1,felix,33,piero hincapié,es
390,roma,33,piero hincapié,es
